point_count,train_cost,testA_cost,gap,train_measurement_cost,train_error_cost,train_mean_abs_error,testA_mean_abs_error,train_max_abs_error,selected_temperatures
6,581.7585,582.295,0.536499999999933,420,161.7585,0.347107781945796,0.347901699628712,1.69086168431738,"[-19, -2, 16, 33, 51, 68]"
7,524.1125,524.875,0.762500000000045,490,34.1125,0.226860526796698,0.227875015399658,1.44162933684822,"[-17, -4, 8, 26, 36, 54, 68]"
8,662.18,661.191666666667,0.98833333333323,560,102.18,0.281039082184163,0.282259996454259,1.56659914598495,"[-17, -9, 10, 25, 29, 39, 57, 68]"
