Restart,Generation,Iteration,GenerationBestSearchCost,GenerationMeanSearchCost,GenerationBestExactCost,GlobalBestExactCost,GlobalBestCount,IslandDiversity,MeanPopulationCount,PrunedRatio,ElapsedSeconds
1,1,1,577.033898305085,1481860.26779661,571.9465,549.76,7,0.134175084175084,7.25,0,4.1832954
1,2,2,549.76,8457.72408333333,549.76,547.7595,7,0.132828282828283,8.2,0.85,9.7896097
1,3,3,548.666666666667,8055.17574166667,547.7595,544.2,7,0.138215488215488,8.2,0.9,15.2569374
1,4,4,548.05,14156.2249083333,544.2,544.2,7,0.124410774410774,7.3,0.85,20.4646912
1,5,5,545.766666666667,9591.4597,544.2,544.2,7,0.110942760942761,7.05,0.8,20.8316576
